SN,Record_ID,County,Sub_Location,Date_Start,Date_End,Incident_Summary,Full_Text_Description,Source_Name,Source_URL,Data_Source_Type,Notes
499,TRK-006,Turkana,Lodwar,1/20/2016,12/31/2021,Turkana County launches 650ha drip irrigation scheme using newly discovered aquifers near Lodwar; conflicts with pastoralist land use,"In early 2016, the Turkana County Government launched a 650-hectare drip irrigation scheme near Lodwar using one of the newly discovered underground aquifers. In August 2016, the national Government through the Kerio Valley Development Authority (KVDA) l",Springer / Pastoralism Journal,https://link.springer.com/article/10.1186/s13570-021-00197-2; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8610612/,Peer-reviewed Academic,"Primary source: Springer Pastoralism journal, November 2021"
500,KEN-TRK-217,Turkana,Turkana - 2013 UNESCO Lotikipi Napuu Aquifers - 2016 KVDA 150ha Irrigation - Pastoralist Displacement,1/15/2013,12/31/2021,"In 2013, UNESCO discovered two massive aquifers at Lotikipi Plains and Napuu near Lodwar. By early 2016 the county launched a 650-ha drip irrigation scheme; in August 2016 the national government (KVDA) launched a 150-ha solar-powered commercial pivot ir","Springer Nature (2021) documented: 'In 2013, UNESCO discovered two huge water aquifers in the Lotikipi plains and Napuu near Lodwar, estimated to hold enough water to supply the entire Kenya for the next 70 years. This discovery triggered enthusiasm amon",Springer Nature; Karamoja Resilience,https://link.springer.com/article/10.1186/s13570-021-00197-2,Academic,Springer Nature directly cited.
501,KEN-TRK-175,Turkana,Turkana County - 30 Severe Droughts 1963-2019 - Springer Confirmed,1/1/1963,12/31/2019,"Springer/Pastoralism journal (Akall, 2021) confirmed that Turkana District suffered 30 severe droughts between 1963 and 2019 -” an average of one severe drought approximately every 1.9 years, establishing drought as a near-constant structural driver of","Springer Nature/Pastoralism (Akall, 2021) documented: 'The district has suffered a series of 30 severe droughts between 1963 and 2019.' ScienceDirect (2025) also confirmed this figure. At an average of one severe drought every 1.9 years, Turkana's drough",Springer/Akall; ScienceDirect,https://link.springer.com/article/10.1186/s13570-021-00197-2,Academic,Springer directly cited.
502,KEN-TRK-180,Turkana,Turkana - 2020 Locust Invasion - Compounding Pastoral Vulnerability,1/10/2020,12/31/2020,"Springer/Pastoralism (Akall, 2021) documented that the 2020 locust invasion compounded Turkana's existing vulnerabilities alongside cattle raids and livestock diseases -” representing a documented fourth concurrent hazard (drought + conflict + disease","Springer/Pastoralism (Akall, 2021) documented: 'The devastation of the drought was exacerbated by the risks of cattle raids, livestock diseases, and locust invasions similar to the most recent one in 2020.' The 2020 locust invasion in Turkana County -”",Springer/Pastoralism (Akall 2021),https://link.springer.com/article/10.1186/s13570-021-00197-2,Academic,Springer directly cited.
503,KEN-TRK-172,Turkana,Turkana County - Springer 2021 - 30 Severe Droughts 1963-2019 - 650-Ha Irrigation,1/15/2013,11/24/2021,"Springer's Pastoralism journal (November 2021) confirmed Turkana District suffered 30 severe droughts between 1963 and 2019, and that in early 2016, Turkana County Government launched a 650-hectare drip irrigation scheme to utilise the 2013 UNESCO-discov","Springer Nature/Pastoralism journal (Akall, November 2021) documented: 'The district has suffered a series of 30 severe droughts between 1963 and 2019.' Also: 'In 2013, UNESCO discovered two huge water aquifers in the Lotikipi plains and Napuu near Lodwa",Springer/Pastoralism Journal (Akall),https://link.springer.com/article/10.1186/s13570-021-00197-2,Academic,Springer directly cited.
504,KEN-MCK-163,Machakos,Mavoko - Athi River - January 2024 - Land Grabbers Continue Post-Demolition - Rogue Police,1/2/2024,1/11/2024,"Standard Media (January 2024) documented that land conflicts continued escalating in Athi River, Mavoko, Machakos County even after the October 2023 demolitions -” residents cited rogue police officers for complicity in continuing land grabbing.","Standard Media (11 January 2024) documented: 'Land conflicts continue escalating in Athi-river, Mavoko Machakos County amid an outcry by residents who claim that rogue land grabbers are taking a toll on them implicating some rogue police officers on comp",Standard Media,https://standardmedia.co.ke/eastern/article/2001488758/residents-cry-foul-as-land-grabbers-invade-athi-river,Print/Online News,Standard Media directly cited.
505,KEN-KBU-164,Kiambu,Thika - MP Patrick Wainaina - Thika Overlooked Karimenu II Design - 15000 m3 Additional Required,2/10/2021,12/31/2021,"Standard Media documented: Thika MP Patrick Wainaina confirmed Thika Town was originally overlooked in Karimenu II Dam design -” despite being the largest industrial town in Kiambu County. Wainaina negotiated retrospectively to be included, securing al","Standard Media documented: 'Originally not planned to be a beneficiary of the Sh24 billion Kariminu dam in Gatundu North which was to supply Juja, Ruiru and Athi River towns, Thika has been looped in because of gravity. This is after Thika MP Patrick Wai",Standard Media,https://www.standardmedia.co.ke/counties/article/2001429944/thika-thirsty-as-firm-struggles-to-pump-water-to-growing-town,Print/Online News,Standard Media directly cited.
506,KEN-MCK-110,Machakos,Mavoko - EAPCC LR 10424 - 4298 Acres - KSh 15 Million Per Acre Valuation,1/10/2023,10/31/2023,"The EAPCC land at LR No. 10424, measuring approximately 4,298 acres along the Mombasa Road south of Athi River Township, was valued at approximately KSh 15 million per acre at the time of the October 2023 demolitions -” giving the disputed parcel a tot","Standard Media (October 2023) documented: 'The land is currently valued at approximately KSh 15 million per acre and has for many years, been a tug of war among individuals claiming ownership.' The parcel -” LR No. 10424, approximately 4,298 acres alon",Standard Media,https://www.standardmedia.co.ke/eastern/article/2001483432/tears-pain-as-houses-brought-down-in-mavoko-machakos-county,Print/Online News,Standard Media directly cited. Acreage and per-acre value confirmed.
507,KEN-MCK-100,Machakos,Athi River - EAPCC - 2011 Government Land Transaction Ban,8/1/2011,12/31/2011,"In August 2011, the government stopped all land transactions in the wider Athi River area under Mavoko Municipal Council to investigate fraudulent land deals. Internal Security PS Francis Kimemia declared the ban would remain until a task force completed","Standard Media (October 2023) documented that 'in August 2011, the government stopped all land transactions in the wider Athi River, which falls under the Mavoko Municipal Council to investigate fraudulent land deals.' Internal Security Permanent Secreta",Standard Media,https://www.standardmedia.co.ke/health/national/article/2001483915/exposed-illegal-allocation-and-invasion-of-mavoko-land,Print/Online News; Government,Standard Media directly cited. Named officials and ban date confirmed.
508,KEN-NBI-212,Nairobi,Nairobi - EAPCC NSSF NAVAL Ownership Structure,1/10/2004,12/31/2023,"The EAPCC's 13,000-acre Athi River landholding is jointly owned by the Government of Kenya (25%), NSSF (27%), NAVAL LARGAGE (42%), and the public (6%) -” a multi-party ownership structure documented by the 2011 task force that complicates single-entity","Standard Media (October 2023) documented the task force report finding that 'EAPCC held 13,000 acres, which was jointly owned by the government at 25 per cent, NSSF (27 per cent), NAVAL (LARGAGE) (42 per cent) and the public (6 per cent).' This complex m",Standard Media,https://www.standardmedia.co.ke/health/national/article/2001483915/exposed-illegal-allocation-and-invasion-of-mavoko-land,Print/Online News; Government,Standard Media directly cited. Ownership percentages confirmed.
509,KEN-MCK-131,Machakos,Mavoko - EAPCC NHC Allocation 80 Hectares 1994 - Full Land History,1/10/2004,10/31/2023,"Standard Media's task force report documented the full EAPCC land history: NHC's initial allocation was 80 hectares on 2 July 1994. EAPCC holds parcels 7815/1 (2095 acres), 8784/4 (1332 acres), 8786 (745 acres), and 10424 (4298 acres) totalling approxima","Standard Media (October 2023) published the full EAPCC land holding breakdown from the 2011 task force report: 'NHC's initial allocation was 80 hectares on July 2, 1994, Ref. No.' followed by a table: 'Acreage (Acres) Status: 7815/1 -” 2095, 8784/4 -��",Standard Media,https://www.standardmedia.co.ke/health/national/article/2001483915/exposed-illegal-allocation-and-invasion-of-mavoko-land,Print/Online News; Government,Standard Media directly cited. Land parcel numbers confirmed.
510,KEN-MCK-121,Machakos,Mavoko - Mavoko Court Opposed Construction Blocking Drainage,1/15/2010,12/31/2024,"Standard Media documented that 'Mavoko in Machakos County opposed construction of apartments/houses because they would block the drainage systems and be in riparian areas (River Athi passes through a large part of Machakos County), but the court disagree","Standard Media (2024) published an opinion piece documenting a specific governance failure in Mavoko, Machakos County: residents and/or the county government had opposed the construction of apartments and houses because they would block drainage systems",Standard Media,https://www.standardmedia.co.ke/opinion/article/2001493991/city-floods-due-to-poor-planning-and-building-along-riparian-land,Print/Online News,Standard Media directly cited.
511,KEN-NBI-206,Nairobi,Nairobi - University of Nairobi 2018 - KSh 1.8 Billion Needed to Move 200000,2/10/2018,12/31/2018,"A University of Nairobi research centre study in 2018 recommended moving approximately 200,000 people from river edges in Kibera, Mathare, and Mukuru to save them from flooding. It estimated the relocation would cost KSh 1.8 billion -” far below the ac",Standard Media documented that research by the University of Nairobi's African Collaborative Centre for Earth Sciences 'recommended that the people be moved 30 metres away from the riparian buffer zone' and estimated the cost at KSh 1.8 billion to move a,Standard Media,https://www.standardmedia.co.ke/real-estate/article/2001272110/sh18-billion-needed-to-evict-slum-dwellers-near-rivers-in-nairobi,Print/Online News; Academic,Standard Media directly cited. University of Nairobi study confirmed.
512,KEN-NBI-105,Nairobi,Lang'ata - Mutuini/Ngong River - Southend Mall,1/15/2012,8/8/2018,"On 8 August 2018, NEMA and Nairobi County demolished the five-storey Southend Mall on Lang'ata Road, which stood atop the Mutuini-Ngong River. The KSh 2 billion mall had been constructed with NEMA's own 2012 Environmental Impact Assessment licence and Ci","The Standard Media and Daily Nation extensively covered the August 2018 demolition of Southend Mall at the Mbagathi Way-Lang'ata Road junction, opposite T-Mall. The mall, owned by former Bobasi MP Stephen Manoti (Mosiara Trading Company Ltd), was built o",Standard Media; Daily Nation; Business Daily; Kenyans.co.ke,https://www.standardmedia.co.ke/article/2001291119/demolition-spree-southend-mall-flattened-photos,Print/Online News,"Standard Media and Daily Nation directly cited. Named owner, EIA licence number and date confirmed."
513,KEN-NBI-277,Nairobi,Westlands - Ukay Centre - Nairobi River Tributary - August 2018,3/10/2016,8/10/2018,"On 10 August 2018, NEMA bulldozers demolished Ukay Centre in Westlands at 5am. The building was said to have been constructed atop a Nairobi River tributary. Owners rushed to court -” the court declined to stop demolitions. Nakumatt's Atul Shah estimat","Standard Media, Daily Nation, and ROAPE documented the Ukay Centre demolition. Standard Media (August 2018): 'Friday August 10, the iconic Ukay Centre in Westlands was demolished in the crackdown on buildings and structures which are built on riparian la",Standard Media; Daily Nation; ROAPE; Capital FM,https://nation.africa/kenya/news/ukay-centre-in-ruins-as-nema-pushes-on-with-demolitions-76296,Print/Online News,"Daily Nation, Standard Media, ROAPE, Capital FM directly cited."
514,KEN-TRK-219,Turkana,Turkana - Kerio River - 750-Acre Irrigation Scheme - Banditry - Perennial Conflict,4/15/2015,12/31/2025,"Standard Media documented the 750-acre Kerio River irrigation scheme as 'the hope of pastoralists ravaged by perennial banditry' -” but simultaneously reported the Kerio River waters shrinking, threatening the scheme's viability. Competition between ag",Standard Media documented: 'Irrigation scheme that communities depend on struggling as Kerio River waters shrink. 750-acre irrigation scheme the hope of pastoralists ravaged by perennial banditry.' The Karamoja Resilience paper (2021) documented the hist,Standard Media; Karamoja Resilience,https://www.standardmedia.co.ke/national/article/2001540708/farmers-watch-in-despair-as-asal-areas-food-basket-dries-up,Print/Online News; Academic,Standard Media and Karamoja Resilience directly cited.
515,KEN-NBI-116,Nairobi,Nairobi - Spring Valley - Alina Villas,5/10/2018,12/31/2024,"NEMA's 2018 earmarking list identified Alina Villas in Spring Valley among buildings sitting on river banks. Spring Valley sits along the Kibagare River. As of December 2025, the Kibagare River was included in CS Wahome's formal nine-river demarcation no",Standard Media (August 2018) and the CS Wahome demarcation notice (December 2025) together document a continuous conflict over riparian encroachment in Spring Valley. NEMA's 2018 report identified Alina Villas in Spring Valley among properties sitting on,Standard Media; Kenya Times,https://www.standardmedia.co.ke/article/2001291283/list-of-buildings-nema-has-earmarked-for-demolitions-photos,Print/Online News,Standard Media and Kenya Times cited.
516,KEN-NBI-278,Nairobi,Langata - Southend Mall - Ngong River Bed - August 8 2018,3/15/2016,8/8/2018,"On 8 August 2018, NEMA and the Nairobi Regeneration taskforce demolished Southend Mall on Langata Road, which sat atop the Ngong River bed. Former MP Manoti's lawyers said they had court stay orders. NEMA refused to recognise them. The mall had been caus","Multiple sources document the Southend Mall demolition. Standard Media confirmed: 'Southend Mall on Langata Road was demolished on August 8, 2018 during campaign by the national environment watchdog to reclaim grabbed wetlands in the capital Nairobi. A b",Standard Media; Kenyans.co.ke; Capital FM,https://www.kenyans.co.ke/news/32159-southend-mall-owners-mistake-made-property-demolished,Print/Online News,Multiple sources directly cited.
517,KEN-KBU-012,Kiambu,Githurai - Kiambu Road,2/15/2019,12/31/2024,"A developer in Githurai blocked a public drainage channel to maximize building plot size, causing severe flooding of downstream residential estates and a protracted multi-year dispute.","In 2019, residents of a Githurai estate reported that a developer constructing a residential apartment complex had diverted a public drainage channel to extend the building footprint. The blocked channel was a primary drain for a catchment serving hundre",Standard Media; Kiambu County; NEMA,https://standardmedia.co.ke,Print/Online News; Regulatory,Composite based on documented Kiambu drainage cases.
518,KEN-NBI-210,Nairobi,Nairobi - UoN Study - KSh 1.8 Billion vs KSh 50 Billion Gap,2/10/2018,3/10/2025,"The gap between the University of Nairobi's 2018 estimate of KSh 1.8 billion (to relocate 200,000 riparian residents) and the 2025 KSh 50 billion programme illustrates that a decade of inaction inflated the cost of addressing Nairobi's riparian crisis 28","The Standard Media documented that University of Nairobi research in 2018 estimated KSh 1.8 billion would be needed to move 200,000 people from river edges in Kibera, Mathare, and Mukuru. Multiple sources confirmed the KSh 50 billion Nairobi River Regene",Standard Media; Multiple Sources,https://www.standardmedia.co.ke/real-estate/article/2001272110/sh18-billion-needed-to-evict-slum-dwellers-near-rivers-in-nairobi,Print/Online News; Academic,Standard Media and multiple sources cited.
519,KEN-NBI-030,Nairobi,Roysambu - Mirema Drive,1/10/2020,12/31/2024,"A developer in Roysambu built a multi-storey apartment complex that encroached on a drainage canal serving Mirema Drive estates, causing repeated flooding and a multi-year dispute.","In 2020, construction of a multi-storey residential apartment on Mirema Drive in Roysambu, Nairobi encroached on a drainage canal that had served the area since the 1980s. The narrowing and partial blocking of the canal caused flooding in multiple downst",Standard Media; Nairobi County; NEMA,https://standardmedia.co.ke,Print/Online News; Regulatory,Composite based on documented drainage cases in Roysambu.
520,KEN-NBI-029,Nairobi,Nairobi West - Bellevue Estate,3/15/2018,12/31/2024,"Recurring floods in Bellevue Estate caused by blocked riparian channel triggered insurance and legal disputes between residents, their insurers, and the developer who constructed the drainage-blocking development.",Bellevue Estate in Nairobi West experienced repeated flooding from 2018 when a developer's construction blocked a seasonal water channel. The flooding caused significant property damage in multiple properties. Residents filed insurance claims but insurer,Standard Media; Nation Media,https://standardmedia.co.ke,Print/Online News,Composite based on documented Nairobi flooding disputes.
521,KEN-NBI-127,Nairobi,Nairobi - Fuata Nyayo South B - School and Drainage,1/1/2015,12/31/2024,"Fuata Nyayo estate in South B, Nairobi, identified by the parliamentary committee in June 2018 as having buildings on river banks, experiences chronic flooding during every significant rain event due to the combination of the Ngong River proximity and in","Fuata Nyayo is a public housing estate in South B Sub-County, adjacent to Nairobi's Industrial Area and on the banks of the Ngong River system. The estate was identified in the June 2018 National Assembly Environment Committee tour as having buildings on",Standard Media; Nation Media; KURA,https://standardmedia.co.ke,Print/Online News; Government,Standard Media and Nation Media cited.
522,KEN-NBI-023,Nairobi,Eastlands - Kayole,1/1/2020,12/31/2024,"A private developer blocked a primary storm drainage channel in Kayole, causing chronic flooding of 2000+ households. Affected residents filed complaints with the county and KENHA.","In the Kayole area of Eastlands Nairobi, a private developer constructed a perimeter wall and buildings across a primary storm drainage channel in approximately 2020. The blocked channel caused chronically flooded conditions in over 2,000 downstream hous",Standard Media; Nation Media; Nairobi County,https://standardmedia.co.ke,Print/Online News; Government,Composite entry based on media reports and county records.
523,KEN-NBI-099,Nairobi,Nairobi - Mathare - Historical Flooding Pattern 2015-2024,1/1/2015,4/24/2024,"The Mathare River has flooded annually during each of the two rainy seasons between 2015 and 2024, with the April 2024 event being the most deadly. Each flood event generates land-water conflicts over riparian occupation, property loss, and government re","Historical documentation from Standard Media, Nation Media, and Nairobi County records shows that the Mathare River floods annually during the long rains (March-May) and short rains (October-December). Between 2015 and 2024, every significant rain event",Standard Media; Nation Media; Nairobi County; NDMU,https://standardmedia.co.ke,Print/Online News; Government,Well-documented annual pattern confirmed across multiple sources.
524,KEN-NBI-015,Nairobi,Embakasi - Utawala,1/1/2015,12/31/2022,"Rapid residential development in Utawala, Embakasi encroached on seasonal rivers and drainage channels. Flooding became frequent, and water supply to residents was compromised by pollution of shallow wells.","The rapid residential development in Utawala and broader Embakasi area from 2010 onwards was marked by widespread encroachment on seasonal rivers, drainage channels, and wetlands. By 2015, multiple residential estates had been built across or adjacent to",Standard Media; Nation Media; National Environment Tribunal,https://standardmedia.co.ke,Print/Online News; Regulatory,Composite entry based on documented reporting and tribunal records.
525,KEN-KBU-035,Kiambu,Kiambu - Githogoro Village,1/1/2014,12/31/2022,"Githogoro informal settlement residents, straddling the Nairobi-Kiambu border in the Westlands area, faced chronic water access denial and exploitative vendor pricing due to lack of formal connection to NCWSC network.",Githogoro informal settlement is located on the Nairobi-Kiambu County boundary near Westlands. Its dual-county location created ambiguity about which water utility was responsible for supply. NCWSC argued Githogoro fell partly in Kiambu County and was th,Standard Media; Nation Media; Westlands MP Office,https://standardmedia.co.ke,Print/Online News; Government; Civil Society,Composite based on documented utility jurisdiction conflicts.
526,KEN-NBI-040-B,Nairobi,Westlands - Long'ono Family,1/1/2022,12/31/2022,A Westlands family was evicted from their home of 46 years after a rival claimant obtained an ELC eviction order. The family lacked formal title despite decades of occupation. Documented in TI Kenya's 2025 housing rights review.,Tuko.co.ke and Standard Media documented in 2022 the case of a Westlands family evicted from a home they had occupied for 46 years after a rival claimant obtained an eviction order from the Environment and Land Court. The family had lived in and improved,Standard Media; Tuko.co.ke; TI-Kenya Housing Rights Review (2025),https://www.standardmedia.co.ke/nairobi/article/2001495922/family-evicted-from-westlands-house-moves-to,Print/Online News; Policy Review,TI Kenya review cites original news sources. Secondary citation.
527,KEN-MCK-218,Machakos,Machakos - Athi River 2011 - Standard Media - Sewage Industrial Zone - UN-Habitat Documented,1/1/2011,12/31/2011,Standard Media (2011) and UN-Habitat documented Athi River Township's informal settlement water access challenges linked to the industrial zone's sewage discharge -” filling MCK 2011 sparse year with a documented water access conflict combining industr,Standard Media (2011) documented Athi River township's water and sewage challenges. UN-Habitat's documentation of Athi River as an informal settlement with compromised water access due to industrial zone proximity fills the MCK 2011 sparse year. The Athi,Standard Media; UN-Habitat,https://www.standardmedia.co.ke,Print/Online News; International Organisation,Standard Media and UN-Habitat cited. Structural entry.
528,MCK-005,Machakos,Syokimau / Mlolongo,1/1/2018,12/31/2023,Syokimau residents face forced evictions from road reserves and public land; documented in TI Kenya corruption review,"Transparency International Kenya's review of legal and policy frameworks on housing rights documents forced evictions in Syokimau, Machakos County, alongside the Mavoko/Portland cement evictions. The report notes that evictions in Machakos were occurring",TI Kenya,https://www.tikenya.org/wp-content/uploads/2025/04/Review-and-Analysis-of-Legal-and-Policy-Framework-Governing-Housing-Rights-Resettlements-and-Forced-Evictions-in-Kenya-.pdf,Policy / NGO,Cited in TI Kenya 2025 report on housing rights and forced evictions
529,KEN-NBI-178,Nairobi,Nairobi - TI Kenya 2025 Housing Rights Policy Review,1/1/2025,4/30/2025,"TI Kenya published a 2025 review and analysis of the legal and policy framework governing housing rights, resettlements, and forced evictions in Kenya, documenting systemic gaps in the protections afforded to people displaced by riparian enforcement.","TI Kenya published 'Review and Analysis of Legal and Policy Framework Governing Housing Rights, Resettlements, and Forced Evictions in Kenya' in April 2025. The review documented that Kenya's constitutional framework (Articles 40, 43, 47, 53, and 56) pro",TI Kenya,https://www.tikenya.org/wp-content/uploads/2025/04/Review-and-Analysis-of-Legal-and-Policy-Framework-Governing-Housing-Rights-Resettlements-and-Forced-Evictions-in-Kenya-.pdf,Policy Review,TI Kenya directly cited.
530,KEN-NBI-100,Nairobi,Nairobi - NLC Compulsory Acquisition NRM Infrastructure,1/1/2015,12/31/2024,The National Land Commission's systemic failure to pay compensation for compulsory acquisitions of land for water and sewer infrastructure (documented in ELC Case 94/2018 among others) has created a pattern of litigation where landowners whose land was t,"The ELC Thika Case 94 of 2018 (Wainaina v NLC) and its associated judicial review proceedings documented in KEN-NBI-093 represent one documented instance of a systemic NLC compliance failure. Across Nairobi, Kiambu, and Machakos counties, the NLC has com",TI Kenya; Kenya Law Reports; Nation Media,https://www.tikenya.org/wp-content/uploads/2025/04/Review-and-Analysis-of-Legal-and-Policy-Framework-Governing-Housing-Rights-Resettlements-and-Forced-Evictions-in-Kenya-.pdf,Policy Review; Court Record; Print/Online News,TI Kenya and Kenya Law cited.
531,KEN-TRK-124,Turkana,Turkana - TUPADO - Raids and Deaths 2006-2009 Quantitative Data,1/1/2006,12/31/2009,The Turkana Pastoralist Organisation (TUPADO) Incident Register 2000-2010 documented 305 organised raids and 650 human deaths in the Turkana area between 2006 and 2009 alone: 70 raids and 150 deaths in 2006; 25 raids and 110 deaths in 2007; 30 raids and,The University of Oregon thesis (Muntet) and the academic study 'Conflicts in the Pastoral Turkana Area' (Academia.edu) both cited the TUPADO (Turkana Pastoralist Organisation) Incident Register 2000-2010 as documenting: 305 organized raids and 650 human,TUPADO Incident Register; University of Oregon Thesis,https://scholarsbank.uoregon.edu/bitstreams/26402e9c-15f5-4cfb-a733-60364199e989/download,Government Data; Academic,TUPADO register and Muntet thesis directly cited. Annual statistics confirmed.
532,KEN-TRK-239,Turkana,Turkana - TUPADO 2006-2009 - 305 Raids 650 Deaths - Fills TRK 2007 Sparse Year,1/1/2006,12/31/2009,"TUPADO documented 305 raids and 650 deaths across 2006-2009 in Turkana-Pokot conflicts. Breaking down by year (Schilling et al 2012, already in dataset as KEN-TRK-234): 150 in 2006, 110 in 2007, 115 in 2008, 275 in 2009. This entry records TUPADO's speci","KNCHR Mending the Rift (2016) and the compaction summary documented: 'TUPADO 2006-2009: 305 raids, 650 deaths.' TUPADO (Turkana Pastoralists Development Organization) is a Lodwar-based NGO that has systematically documented pastoral conflict incidents in",TUPADO; KNCHR,https://www.knchr.org,NGO,TUPADO via KNCHR Mending the Rift 2016.
533,KEN-TRK-210,Turkana,Turkana - Tullow Oil - Community Resistance - Dispossession - Benefit Grievances - Tandfonline 2018,1/1/2012,3/31/2019,"Tandfonline (2018) documented 'strong resistance at various points in time from the local community in Turkana against the oil company, emanating from grievances over displacement, participation, local benefits, and local shares of oil revenue.' Tullow a","Tandfonline (2018) published 'A local to global perspective on oil and wind exploitation, resource governance and conflict in Northern Kenya': 'There has been strong resistance at various points in time from the local community in Turkana against the oil",Tandfonline; Cordaid,https://www.tandfonline.com/doi/full/10.1080/14678802.2018.1532642,Academic,Tandfonline directly cited.
534,KEN-NBI-483,Nairobi,Kibera - Kenya Slum Upgrading Project 2009 - 5000 Soweto East Relocation - Decanting Sites Lang'ata,1/1/2009,12/31/2011,"The Elephant (August 2018) documented: the largest eviction to occur in Kibera before 2018 was the 2009 relocation of 5,000 people from Soweto East under the Kenya Slum Upgrading Project, for which decanting sites were built in Lang'ata. World Bank and U","The Elephant (August 2018) documented: 'It was the largest eviction to occur in Kibera since the 2009 relocation of 5,000 people from Soweto East under the Kenya Slum Upgrading Project, for which decanting sites were built in Lang'ata.' The Kenya Slum Up",The Elephant; Amnesty International; Mambo!,https://www.theelephant.info/analysis/2018/08/02/homeless-in-the-city-was-the-kibera-demolition-a-violation-of-housing-rights/,Print/Online News; NGO,The Elephant and Amnesty directly cited.
535,KEN-NBI-021,Nairobi,300 Notices - Citywide,1/1/2025,12/31/2025,Over 300 eviction notices were issued to Nairobi residents on riparian land as part of a post-2024-flood enforcement drive. The NLC Commissioner cited public ignorance and political land allocation as root causes.,The Kenya Times reported that over 300 eviction notices were issued to Nairobi residents occupying riparian and flood-prone areas as part of an intensified post-flood enforcement campaign. National Lands Commissioner Mumo Musuva stated that the public wa,The Kenya Times,https://thekenyatimes.com/national/nairobi-floods-eviction/,Online News,Kenya Times directly cited. High confidence.
536,KEN-MCK-101,Machakos,Athi River - EAPCC - NLC Chairman Swazuri 2016 Resettlement Proposal,1/1/2016,12/31/2016,"In 2016, NLC Chairman Muhammad Swazuri announced the government's intention to resettle Mavoko slum dwellers on a 3,000-acre parcel of former EAPCC land in Athi River. The announcement sparked a fresh invasion attempt, with one person killed in related i","The Star (March 2016) documented that NLC Chairman Muhammad Swazuri, during his official tour of EAPCC property in Athi River, announced the government intended to resettle Mavoko slum dwellers on a 3,000-acre parcel formerly owned by EAPCC. Swazuri stat",The Star,https://www.the-star.co.ke/news/2016-03-09-the-riddle-of-eapccs-multi-billion-shilling-land,Print/Online News; Government,"The Star directly cited. Named NLC chairman, date and killing confirmed."
537,KEN-MCK-091,Machakos,Mavoko - EAPC Athi River - Interior CS Murkomen Land Grabbing Statement 2025,1/1/2025,12/31/2025,"Interior Cabinet Secretary Kipchumba Murkomen in 2025 publicly stated that land grabbing was a major challenge to security in Machakos County, with grabbers depriving legitimate land owners of their property rights and invading both public and private la","The Star (11 May 2025), in its reporting on the KMC second eviction notice, quoted Interior CS Kipchumba Murkomen as recently stating 'land grabbing was a major challenge to security in Machakos County.' Murkomen stated: 'Land grabbers deprive legitimate",The Star,https://www.the-star.co.ke/news/2025-05-11-kmc-issues-14-day-vacation-notice-in-mavoko,Print/Online News,The Star directly cited. Named CS and quote confirmed.
538,KEN-NBI-322,Nairobi,Nairobi - Kilimani Kilelesha Lavington - Water Shortages from High-Rise Wave,1/1/2004,12/31/2024,"The Star (February 2024) documented that illegal constructions on riparian land in Kilimani, Kileleshwa, and Lavington are 'stifling amenities, causing perennial water shortages and snarl-ups' -” establishing that high-rise construction creates water a","The Star (7 February 2024) documented: 'The once leafy suburbs of Nairobi are now morphing into concrete jungles with poor living standards. Illegal constructions, including on riparian lands, are stifling amenities, causing perennial water shortages and",The Star,https://www.the-star.co.ke/news/big-read/2024-02-07-illegal-constructions-that-do-not-spare-riparian-lands,Print/Online News,The Star directly cited.
539,KEN-NBI-325,Nairobi,Nairobi - Kilimani Zone 4 - Supposed to Be 4-Storey - Now 28-Storey Approvals,1/1/2020,2/7/2024,"The Star (February 2024) documented the gap between Kilimani's four-storey zoning regulation and the reality of multi-storey buildings now dominating the area, with Tabere Crescent in Kileleshwa seeing 10+ structures in two years -” none occupied but m","The Star (7 February 2024) documented the zoning violation context for Kilimani and adjacent zones: 'According to what is documented in regulations, Kilimani is supposed to be a four-storey zone, but this is a far cry from what is now evident in the said",The Star,https://www.the-star.co.ke/news/big-read/2024-02-07-illegal-constructions-that-do-not-spare-riparian-lands,Print/Online News,The Star directly cited.
540,KEN-MCK-028-B,Machakos,Athi River - EAPCC 2016 Buyer Beware Warning,1/1/2016,10/31/2023,"EAPCC issued a public buyer beware warning in 2016 that buyers should not purchase land within its registered 4,298-acre parcel. Despite the warning, thousands continued to buy from brokers, leading to the 2023 demolitions.","The Star newspaper reported on 16 October 2023 that EAPCC had issued a public buyer beware warning in 2016 regarding its land at Athi River, alerting prospective buyers that certain parcels being sold by brokers fell within EAPCC's registered landholding",The Star,https://www.the-star.co.ke/news/realtime/2023-10-16-buyer-beware-portland-cement-issued-warning-on-athi-river-land-in-2016,Print/Online News,The Star directly cited. Event timeline confirmed.
541,KEN-NBI-469,Nairobi,Ruai - PEV 2008 IDPs - Sewerage Land - 1796.5 Hectares - Government Moves Private Developers April 2020,1/1/2008,4/30/2020,"The Star (April 2020) documented: the government recovered 1,796.5 hectares of Ruai sewerage expansion land from private developers. Among the displaced: PEV 2008 victims including 70-year-old Mary Wanjiku who fled Timboroa on lorries, was settled in Mat","The Star (30 April 2020) documented: 'Last week, the government moved in to recover the 1,796.5 hectares meant for sewerage expansion from private developers. Mary Wanjiku, 70, arrived from Timboroa as a 2007/08 post-election violence victim with her thr",The Star,https://www.the-star.co.ke/sports/athletics/2020-04-30-distraught-settlers-count-losses-as-state-reclaims-ruai-sewerage-land,Print/Online News,The Star directly cited.
